feature,importance
num__OverallQual,0.5683106005074122
num__GrLivArea,0.16340858535762523
num__TotalBsmtSF,0.08148248488342663
num__LotArea,0.042680387261188966
num__YearBuilt,0.035372405839847125
num__GarageCars,0.025882407450307628
num__TotRmsAbvGrd,0.012806049848894569
cat__BsmtQual_Ex,0.011452581463089966
num__FullBath,0.010304857946145895
cat__KitchenQual_Gd,0.005245977094580978
cat__Neighborhood_NoRidge,0.00519266222579306
cat__Neighborhood_Edwards,0.004771912064397181
cat__BsmtQual_Gd,0.004528361649129686
cat__ExterQual_Ex,0.00256853395603224
cat__ExterQual_Gd,0.0022114000125415755
cat__KitchenQual_TA,0.002153894603880864
cat__BsmtQual_TA,0.0020652621569701123
cat__Neighborhood_Crawfor,0.00202200118044132
cat__KitchenQual_Ex,0.0019049515290839006
cat__Neighborhood_OldTown,0.0018718814926722658
cat__ExterQual_TA,0.0015766222237061887
cat__Neighborhood_NAmes,0.0014329475671055348
cat__Neighborhood_CollgCr,0.0012670693746321272
cat__Neighborhood_Somerst,0.0012504775149739312
cat__Neighborhood_StoneBr,0.0012153306747108932
cat__Neighborhood_Timber,0.0009723004405236205
cat__Neighborhood_NridgHt,0.0008650375844042711
cat__Neighborhood_ClearCr,0.0007338549238482405
cat__Neighborhood_Gilbert,0.00047457711933855196
cat__Neighborhood_NWAmes,0.0004653723369289678
cat__BsmtQual_Fa,0.00045913020149860727
cat__Neighborhood_Sawyer,0.0004551226894794646
cat__Neighborhood_Veenker,0.00040122065540253176
cat__Neighborhood_BrkSide,0.0003569281815563376
cat__Neighborhood_Mitchel,0.0003350418173478729
cat__Neighborhood_SawyerW,0.00031291669166653096
cat__Neighborhood_SWISU,0.00030226378584595357
cat__KitchenQual_Fa,0.0002652719294643774
cat__Neighborhood_IDOTRR,0.00019867874792456165
cat__ExterQual_Fa,0.0001449284861174868
cat__Neighborhood_Blmngtn,0.0001169535267009265
cat__Neighborhood_BrDale,7.726677509118195e-05
cat__Neighborhood_NPkVill,3.9119158895716486e-05
cat__Neighborhood_MeadowV,2.8354083574431646e-05
cat__Neighborhood_Blueste,1.601498580034532e-05
